"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","271","Create file with empty filename","LMS service","Wed May 20 12:02:42 UTC 2026","passed","Wed May 20 12:02:42 UTC 2026","Validate entity","Files","",""
"","523","Create user","LMS service","Wed May 20 12:02:43 UTC 2026","passed","Wed May 20 12:02:44 UTC 2026","Create entity","Users","",""
"","20","Delete file","LMS service","Wed May 20 12:02:41 UTC 2026","passed","Wed May 20 12:02:41 UTC 2026","Delete entity","Files","",""
"","21","Delete exercise","LMS service","Wed May 20 12:02:39 UTC 2026","passed","Wed May 20 12:02:39 UTC 2026","Delete entity","Exercises","",""
"","15","Get file","LMS service","Wed May 20 12:02:41 UTC 2026","passed","Wed May 20 12:02:41 UTC 2026","Get entity","Files","",""
"","544","Create user","LMS service","Wed May 20 12:02:43 UTC 2026","passed","Wed May 20 12:02:43 UTC 2026","Create entity","Users","",""
"","304","Get courses","LMS service","Wed May 20 12:02:36 UTC 2026","passed","Wed May 20 12:02:36 UTC 2026","Get entities","Courses","",""
"","24","Get exercises","LMS service","Wed May 20 12:02:40 UTC 2026","passed","Wed May 20 12:02:40 UTC 2026","Get entities","Exercises","",""
"","22","Create file with empty directory","LMS service","Wed May 20 12:02:42 UTC 2026","passed","Wed May 20 12:02:43 UTC 2026","Validate entity","Files","",""
"","12","Get user me","LMS service","Wed May 20 12:02:45 UTC 2026","passed","Wed May 20 12:02:45 UTC 2026","Get entity","Users","",""
"","305","Update course","LMS service","Wed May 20 12:02:36 UTC 2026","passed","Wed May 20 12:02:36 UTC 2026","Update entity","Courses","",""
"","22","Get exercise","LMS service","Wed May 20 12:02:39 UTC 2026","passed","Wed May 20 12:02:39 UTC 2026","Get entity","Exercises","",""
"","33","Create course","LMS service","Wed May 20 12:02:37 UTC 2026","passed","Wed May 20 12:02:37 UTC 2026","Create entity","Courses","",""
"","24","Update exercise","LMS service","Wed May 20 12:02:38 UTC 2026","passed","Wed May 20 12:02:38 UTC 2026","Update entity","Exercises","",""
"","296","Create exercise","LMS service","Wed May 20 12:02:37 UTC 2026","passed","Wed May 20 12:02:38 UTC 2026","Create entity","Exercises","",""
"","571","Create user","LMS service","Wed May 20 12:02:44 UTC 2026","passed","Wed May 20 12:02:44 UTC 2026","Create entity","Users","",""
"","40","Create file","LMS service","Wed May 20 12:02:40 UTC 2026","passed","Wed May 20 12:02:40 UTC 2026","Create entity","Files","",""
"","556","Login with correct email and password","LMS service","Wed May 20 12:02:35 UTC 2026","passed","Wed May 20 12:02:35 UTC 2026","Login","Authentication","",""
"","267","Get file with incorrect file id","LMS service","Wed May 20 12:02:43 UTC 2026","passed","Wed May 20 12:02:44 UTC 2026","Validate entity","Files","",""
